Street,Location_Id,City,State_Id,State
Calle Real,92,Raleigh,NJ,South Dakota
Bayshore Freeway,93,Carson City,KS,Hawaii
Padre Boulevard,94,Trenton,CO,New Mexico
South Highway,95,Phoenix,NC,North Dakota
Cerrillos Road,96,Phoenix,AZ,Louisiana
Richmond Hill,97,Lansing,MA,South Carolina
Via Real,98,Lincoln,TN,Georgia
Erringer Road,99,Richmond,TX,Arkansas
Pacific Hwy S,100,Austin,NM,New Mexico
East 1st Street,101,Honolulu,MN,Hawaii
Erringer Road,102,Boise,FL,Massachusetts
Cleveland Ave.,103,Boise,AZ,Georgia
North Atherton Street,104,Helena,OH,Maryland
North Erringer Road,105,Bismarck,NM,Washington
Lindbergh Blvd,106,Des Moines,MN,New Mexico
S Rustle St,107,Sacramento,NE,Massachusetts
Bowles Avenue,108,Baton Rouge,GA,Hawaii
Erringer Road,109,Concord,NJ,California
South Highway,110,Phoenix,HI,Texas
South Roosevelt Drive,111,Lansing,AR,Oregon
Monroe Street,112,Charleston,CA,Georgia
Harbor Dr,113,Boston,IA,North Dakota
Via Real,114,Indianapolis,NH,Arizona
Richmond Hill,115,Pierre,CT,Massachusetts
Burnett Road,116,Atlanta,IA,Oklahoma
Fontaine Road,117,Montpelier,OH,Kansas
Calle Real,118,Olympia,LA,Illinois
Timberlane Drive,119,Pierre,NH,Missouri
Fairview Avenue,120,Phoenix,IN,New Jersey
Jones Road,121,Concord,NM,Connecticut
Fairview Avenue,122,Santa Fe,NH,New Mexico
W. Russell St.,123,Augusta,TN,Washington
N Harrison St,124,Bismarck,WV,Wisconsin
N Kentwood,125,Charleston,ND,Michigan
Jean de la Fontaine,126,Boston,DE,Delaware
Burnett Road,127,Tallahassee,AK,Minnesota
S Rustle St,128,Lincoln,MO,Rhode Island
Santa Rosa South,129,Lincoln,LA,Tennessee
East Fry Blvd.,130,Sacramento,SC,Idaho
Via Real,131,Denver,TX,California
Cleveland Ave.,132,Concord,NH,Pennsylvania
Hutchinson Rd,133,Olympia,CT,Alaska
Burnett Road,134,Tallahassee,KS,Connecticut
Richmond Hill,135,Charleston,MN,Oklahoma
Santa Ana Freeway,136,Lansing,MN,Wyoming
French Camp Turnpike Road,137,Providence,HI,Michigan
East 1st Street,138,Lincoln,VA,Iowa
W. Russell St.,139,Olympia,TX,New Mexico
Monroe Street,140,Springfield,VT,Arizona
Lake Tahoe Blvd.,141,Springfield,ND,Maryland
Bowles Avenue,142,Bismarck,WV,New Hampshire
Greenwood Road,143,Augusta,GA,Washington
El Camino Real,144,Baton Rouge,PA,Vermont
Moreno Drive,145,Sacramento,OH,Rhode Island
San Marcos,146,Pierre,HI,Rhode Island
Lake Tahoe Blvd.,147,Baton Rouge,NE,Pennsylvania
Milpas Street,148,Richmond,AZ,Tennessee
Burnett Road,149,Trenton,TX,Missouri
San Ysidro Blvd,150,Charleston,MA,Utah
South Roosevelt Drive,151,Topeka,WA,South Carolina
Tully Road East,152,Harrisburg,ND,Alabama
North Atherton Street,153,Salt Lake City,RI,Virginia
Camelback Rd,154,Austin,KS,North Dakota
Richmond Hill,155,Albany,AR,Idaho
Bayshore Freeway,156,Hartford,AK,Delaware
Santa Rosa North,157,Hartford,WI,Mississippi
San Marcos,158,Augusta,TX,Washington
French Camp Turnpike Road,159,Oklahoma City,AK,Indiana
Lindbergh Blvd,160,Madison,ME,Indiana
Timberlane Drive,161,Albany,KY,Washington
South Roosevelt Drive,162,Lincoln,VA,Oklahoma
N Kentwood,163,Santa Fe,MA,South Carolina
Santa Ana Freeway,164,Columbia,AR,Virginia
S Rustle St,165,Sacramento,TX,New Mexico
Harry S Truman Blvd,166,Harrisburg,VA,Georgia
W. Russell St.,167,Sacramento,AL,Colorado
Moreno Drive,168,Santa Fe,AZ,Kansas
East Main Street,169,Richmond,MO,Pennsylvania
Harbor Dr,170,Frankfort,ND,South Carolina
Pacific Hwy S,171,Raleigh,AR,Kentucky
North Erringer Road,172,Providence,OH,Louisiana
Calle Real,173,Santa Fe,OK,South Dakota
Fairview Avenue,174,Boise,NJ,Alaska
Grandview Drive,175,Columbus,ND,New York
San Marcos,176,Concord,ME,North Dakota
Timberlane Drive,177,Annapolis,IN,Arizona
Richmond Hill,178,Springfield,ND,Texas
Richmond Hill,179,Pierre,NV,California
N Harrison St,180,Montpelier,SD,Idaho
Camelback Rd,181,Des Moines,UT,Hawaii
San Marcos,182,Charleston,MS,North Dakota
Westside Freeway,183,Santa Fe,IA,New Hampshire
North Broadway Street,184,Lansing,LA,West Virginia
Greenwood Road,185,Des Moines,MS,South Carolina
Jean de la Fontaine,186,Raleigh,DE,Nebraska
Carpinteria Avenue,187,Topeka,MO,New Jersey
Redwood Highway,188,Nashville,OK,Ohio
Lake Tahoe Blvd.,189,Harrisburg,HI,Missouri
Grandview Drive,190,Charleston,CA,Nevada
Steele Lane,191,Des Moines,CO,Vermont
Santa Monica Road,192,Little Rock,OH,Mississippi
Bayshore Freeway,193,Olympia,AZ,West Virginia
Greenwood Road,194,Salt Lake City,MA,Illinois
San Ysidro Blvd,195,Boise,CO,Florida
Calle Real,196,Sacramento,NE,Indiana
Fontaine Road,197,Lincoln,DE,Montana
Steele Lane,198,Jefferson City,NV,Maryland
Richmond Hill,199,Columbus,NC,Pennsylvania
Pacific Hwy S,200,Helena,AZ,New Jersey
East Main Street,201,Concord,CT,Louisiana
Richmond Hill,202,Hartford,CA,New Jersey
Harbor Dr,203,Columbia,AK,Rhode Island
Redwood Highway,204,Albany,UT,Illinois
Grandview Drive,205,Boise,OK,New Mexico
San Luis Obispo North,206,Indianapolis,MO,New York
Santa Rosa South,207,Albany,MS,Missouri
Bowles Avenue,208,Concord,AL,Pennsylvania
S Rustle St,209,Charleston,IN,Nebraska
Erringer Road,210,Juneau,SD,West Virginia
Lake Tahoe Blvd.,211,Madison,TX,Pennsylvania
Westside Freeway,212,Bismarck,VA,Nevada
East Main Street,213,Bismarck,MD,Connecticut
Carpinteria South,214,Indianapolis,MT,California
Westside Freeway,215,Montpelier,KS,Alabama
Bayshore Freeway,216,Montpelier,OK,Oklahoma
Santa Rosa South,217,Jackson,NC,Tennessee
Cerrillos Road,218,Concord,NH,Vermont
East 1st Street,219,Providence,MA,Ohio
Harbor Dr,220,Des Moines,PA,Nevada
Lake Tahoe Blvd.,221,Columbus,NE,Massachusetts
Tanger Blvd,222,Salem,GA,Florida
San Simeon,223,Boise,SC,Hawaii
Padre Boulevard,224,Tallahassee,MA,Kentucky
Redwood Highway,225,Charleston,SD,Connecticut
Lake Tahoe Blvd.,226,Little Rock,MI,South Carolina
Fairview Avenue,227,Des Moines,AZ,Massachusetts
Erringer Road,228,Charleston,AZ,Virginia
Steele Lane,229,Tallahassee,HI,Alabama
Lake Tahoe Blvd.,230,Olympia,VT,Arkansas
Tanger Blvd,231,Trenton,IN,Connecticut
Bailard Avenue,232,Baton Rouge,KS,Montana
Steele Lane,233,Charleston,CA,Colorado
Jean de la Fontaine,234,Raleigh,CA,Maryland
Via Real,235,Frankfort,ME,Kansas
Cerrillos Road,236,Oklahoma City,OR,Illinois
East Main Street,237,Carson City,ND,Ohio
Woodson Rd.,238,Honolulu,NE,Illinois
E Fowler Avenue,239,Oklahoma City,ID,Maine
East Calle Primera,240,Boston,OR,Delaware
Calle Real,241,Columbus,MN,Pennsylvania
San Diego Freeway,242,Lincoln,CT,Tennessee
East Main Street,243,Honolulu,FL,Rhode Island
South Roosevelt Drive,244,Austin,UT,Hawaii
Katella Avenue,245,Augusta,ND,Maine
Santa Rosa North,246,Santa Fe,NY,Mississippi
East 1st Street,247,Olympia,RI,Mississippi
Fairview Avenue,248,Salt Lake City,MA,Texas
Fairview Avenue,249,Columbia,NE,Pennsylvania
Carpinteria North,250,Montgomery,KY,South Dakota
South Roosevelt Drive,251,Columbus,MA,West Virginia
Greenwood Road,252,Springfield,MO,Illinois
Carpinteria North,253,Atlanta,NE,South Carolina
East Fry Blvd.,254,Tallahassee,DE,North Dakota
Tanger Blvd,255,Atlanta,HI,Maryland
Padre Boulevard,256,Boston,MT,Hawaii
South Highway,257,Austin,VT,West Virginia
Carpinteria North,258,Charleston,SD,Oregon
San Simeon,259,Providence,CA,Utah
Newbury Road,260,Columbus,ND,Alabama
San Luis Obispo North,261,Honolulu,IN,Illinois
Greenwood Road,262,Charleston,OK,Vermont
Newbury Road,263,Frankfort,CO,Utah
East Fry Blvd.,264,Columbia,CO,Michigan
Harry S Truman Blvd,265,Boston,RI,Virginia
Corona Del Mar,266,Boise,LA,Nebraska
Katella Avenue,267,Dover,CT,Oregon
Lindbergh Blvd,268,Jefferson City,SC,Texas
Padre Boulevard,269,Little Rock,MO,Illinois
Erringer Road,270,Richmond,NE,Florida
Cerrillos Road,271,Hartford,MA,Nevada
Richmond Hill,272,Pierre,MN,Washington
Burnett Road,273,Pierre,KS,Delaware
Bayshore Freeway,274,Jackson,TX,Georgia
Cerrillos Road,275,Salem,WI,Minnesota
North Broadway Street,276,Bismarck,GA,Ohio
N Harrison St,277,Albany,KS,Virginia
Padre Boulevard,278,Oklahoma City,CA,Montana
S Rustle St,279,Columbia,VA,Indiana
Bailard Avenue,280,Santa Fe,NM,Tennessee
Cleveland Ave.,281,Phoenix,CT,Kentucky
Carpinteria Avenue,282,Juneau,ME,Utah
North Ventu Park Road,283,Dover,OH,Massachusetts
Milpas Street,284,Carson City,IA,Maine
Burnett Road,285,Denver,AK,Wyoming
Fontaine Road,286,Juneau,AR,Colorado
Camelback Rd,287,Augusta,NV,Idaho
Carpinteria Avenue,288,Bismarck,VT,West Virginia
Westside Freeway,289,Augusta,IN,Minnesota
N Harrison St,290,Providence,DE,Iowa
South Highway,291,Atlanta,WA,Kentucky
San Simeon,292,Hartford,TX,Maryland
San Diego Freeway,293,Santa Fe,AR,Alabama
Cleveland Ave.,294,Honolulu,TN,Kentucky
Tanger Blvd,295,Columbia,RI,New Hampshire
Apalachee Parkway,296,Topeka,MO,Maine
Pacific Hwy S,297,Austin,ID,Vermont
Cleveland Ave.,298,Santa Fe,CA,West Virginia
Corona Del Mar,299,Albany,WA,Virginia
Carpinteria South,300,Trenton,WA,Arizona
E Fowler Avenue,301,Montpelier,AR,Rhode Island
Lindbergh Blvd,302,Columbia,GA,Oklahoma
Santa Rosa South,303,Atlanta,HI,Pennsylvania
Via Real,304,Austin,MD,Hawaii
North Preisker Lane,305,Santa Fe,CT,Wyoming
Santa Ana Freeway,306,Indianapolis,NC,Utah
S Rustle St,307,Bismarck,MI,Utah
Santa Ana Freeway,308,Saint Paul,TN,Minnesota
North Broadway Street,309,Concord,DE,Vermont
Fairview Avenue,310,Annapolis,AK,Illinois
Calle Real,311,Nashville,ID,Alaska
Burnett Road,312,Harrisburg,AR,Kansas
Carpinteria Avenue,313,Carson City,RI,Pennsylvania
South Highway,314,Montpelier,WI,Massachusetts
South Roosevelt Drive,315,Albany,VT,Georgia
Castillo Drive,316,Helena,ND,West Virginia
Cerrillos Road,317,Boston,NV,Minnesota
Carpinteria North,318,Honolulu,FL,North Dakota
Bailard Avenue,319,Lansing,PA,Michigan
Timberlane Drive,320,Honolulu,DE,Michigan
South Roosevelt Drive,321,Charleston,AK,California
Castillo Drive,322,Carson City,OH,Kentucky
East Main Street,323,Nashville,ND,Colorado
N Kentwood,324,Jackson,WY,New York
East 1st Street,325,Columbia,KY,Massachusetts
South Highway,326,Frankfort,IL,New Hampshire
E Fowler Avenue,327,Oklahoma City,MS,Idaho
San Simeon,328,Columbus,CA,California
Fontaine Road,329,Honolulu,WA,Indiana
Apalachee Parkway,330,Richmond,NM,Alaska
San Simeon,331,Austin,NH,Wyoming
North Erringer Road,332,Baton Rouge,MT,Texas
Fontaine Road,333,Des Moines,IN,Vermont
Bowles Avenue,334,Helena,AR,Vermont
San Luis Obispo North,335,Springfield,WY,Virginia
North Broadway Street,336,Lansing,ND,Massachusetts
San Marcos,337,Carson City,OK,Nebraska
Lindbergh Blvd,338,Jackson,NH,Illinois
W. Russell St.,339,Des Moines,MO,Delaware
Hutchinson Rd,340,Baton Rouge,UT,South Dakota
North Ventu Park Road,341,Denver,OH,Georgia
East 1st Street,342,Cheyenne,VA,Washington
N Harrison St,343,Harrisburg,AK,Utah
San Simeon,344,Montpelier,WA,Kentucky
Tully Road East,345,Augusta,MN,New Mexico
Carpinteria North,346,Columbia,KY,Texas
North Erringer Road,347,Olympia,SD,Washington
E Fowler Avenue,348,Charleston,UT,Alabama
Richmond Hill,349,Austin,ID,Utah
San Simeon,350,Concord,NV,New Jersey
E Fowler Avenue,351,Helena,AZ,New Hampshire
San Diego Freeway,352,Dover,DE,Montana
Santa Monica Road,353,Hartford,MS,Ohio
N Kentwood,354,Austin,KS,Vermont
North Broadway Street,355,Springfield,WI,Arkansas
Harry S Truman Blvd,356,Austin,MI,New Mexico
East 1st Street,357,Montpelier,NH,Indiana
Richmond Hill,358,Baton Rouge,NC,Delaware
Timberlane Drive,359,Cheyenne,LA,Pennsylvania
Apalachee Parkway,360,Indianapolis,DE,New York
Padre Boulevard,361,Richmond,NE,Rhode Island
San Diego Freeway,362,Jackson,NY,South Carolina
Bailard Avenue,363,Boston,CA,Kentucky
Lawrenceville Suwanee,364,Columbia,NE,Alaska
Erringer Road,365,Lincoln,OK,Michigan
Via Real,366,Sacramento,ME,New Hampshire
S Rustle St,367,Helena,SC,Louisiana
Lawrenceville Suwanee,368,Tallahassee,OH,New Jersey
Fontaine Road,369,Augusta,PA,Alaska
Corona Del Mar,370,Harrisburg,ID,Delaware
Katella Avenue,371,Atlanta,ND,Maine
North Broadway Street,372,Saint Paul,DE,Illinois
Santa Rosa North,373,Pierre,OK,Massachusetts
San Marcos,374,Santa Fe,HI,Oregon
Westside Freeway,375,Montpelier,ME,Oregon
Tully Road East,376,Montgomery,KY,Vermont
Pacific Hwy S,377,Springfield,IL,Nebraska
North Atherton Street,378,Boston,KY,Virginia
S Rustle St,379,Raleigh,IL,Wisconsin
Carpinteria North,380,Oklahoma City,CA,South Carolina
East Calle Primera,381,Pierre,AK,Arizona
Lake Tahoe Blvd.,382,Denver,LA,Indiana
Carpinteria North,383,Springfield,ID,North Dakota
San Simeon,384,Cheyenne,MN,South Carolina
N Harrison St,385,Baton Rouge,PA,Massachusetts
North Erringer Road,386,Jackson,IL,Idaho
North Broadway Street,387,Columbia,IL,Connecticut
Lake Tahoe Blvd.,388,Trenton,KY,Texas
East Fry Blvd.,389,Montgomery,MD,Connecticut
French Camp Turnpike Road,390,Hartford,NE,Iowa
N Kentwood,391,Dover,MD,South Dakota
Apalachee Parkway,392,Tallahassee,PA,Illinois
Richmond Hill,393,Lincoln,MT,West Virginia
Westside Freeway,394,Charleston,HI,Delaware
Westside Freeway,395,Atlanta,NC,Rhode Island
Erringer Road,396,Richmond,WI,Alaska
Corona Del Mar,397,Concord,CO,Virginia
Santa Rosa South,398,Dover,NJ,Oklahoma
Bayshore Freeway,399,Boise,GA,Arkansas
Moreno Drive,400,Denver,MS,Utah
Carpinteria North,401,Carson City,MT,Nebraska
San Diego Freeway,402,Providence,OR,North Carolina
East Calle Primera,403,Richmond,MT,West Virginia
Timberlane Drive,404,Lincoln,ID,Michigan
French Camp Turnpike Road,405,Cheyenne,WA,Mississippi
Carpinteria Avenue,406,Sacramento,PA,North Dakota
Steele Lane,407,Honolulu,KY,Delaware
Richmond Hill,408,Des Moines,ND,Alabama
Monroe Street,409,Annapolis,AZ,New Hampshire
Via Real,410,Hartford,VT,West Virginia
San Marcos,411,Carson City,MS,Massachusetts
South Highway,412,Lansing,FL,Arizona
North Atherton Street,413,Charleston,PA,Rhode Island
Milpas Street,414,Boise,SD,Georgia
Cabrillo Highway,415,Providence,SC,Louisiana
Westside Freeway,416,Phoenix,NM,Maryland
East 1st Street,417,Concord,OR,Illinois
Hutchinson Rd,418,Indianapolis,CO,Minnesota
Tanger Blvd,419,Bismarck,AK,Maryland
Santa Ana Freeway,420,Dover,OH,Connecticut
Harry S Truman Blvd,421,Little Rock,PA,Montana
San Luis Obispo North,422,Columbia,VT,Utah
South Highway,423,Jefferson City,MI,Ohio
Bayshore Freeway,424,Hartford,NY,Michigan
Camelback Rd,425,Juneau,NH,Nebraska
S Rustle St,426,Dover,IL,Alabama
Bayshore Freeway,427,Columbus,MT,South Carolina
Padre Boulevard,428,Providence,TX,South Carolina
Tanger Blvd,429,Boston,WA,New Mexico
Woodson Rd.,430,Helena,TN,Pennsylvania
East Fry Blvd.,431,Trenton,ND,Washington
Steele Lane,432,Honolulu,MN,Arizona
Timberlane Drive,433,Albany,SD,Connecticut
Redwood Highway,434,Frankfort,TN,Michigan
Santa Rosa South,435,Lansing,ID,Minnesota
Camelback Rd,436,Jefferson City,AK,Illinois
Hutchinson Rd,437,Salt Lake City,TN,Alaska
El Camino Real,438,Richmond,CT,Nebraska
Harbor Dr,439,Boise,NC,Iowa
North Erringer Road,440,Augusta,NV,California
Steele Lane,441,Atlanta,MT,New Jersey
Santa Monica Road,442,Jefferson City,AK,Illinois
Cabrillo Highway,443,Topeka,NE,Iowa
Timberlane Drive,444,Phoenix,MT,Rhode Island
W. Russell St.,445,Nashville,OK,Rhode Island
Erringer Road,446,Juneau,UT,Oregon
E Fowler Avenue,447,Lincoln,NY,Missouri
Timberlane Drive,448,Springfield,ND,Kentucky
Jones Road,449,Pierre,PA,Connecticut
Corona Del Mar,450,Frankfort,WA,Wisconsin
E Fowler Avenue,451,Sacramento,MT,West Virginia
Corona Del Mar,452,Des Moines,MT,Colorado
French Camp Turnpike Road,453,Frankfort,WV,Indiana
East Fry Blvd.,454,Saint Paul,NH,North Carolina
North Atherton Street,455,Montpelier,IN,New Hampshire
Corona Del Mar,456,Lincoln,AR,Mississippi
Corona Del Mar,457,Carson City,AL,Rhode Island
Lawrenceville Suwanee,458,Augusta,MD,Texas
S Rustle St,459,Boise,KY,Maryland
El Camino Real,460,Salem,OR,Iowa
Cerrillos Road,461,Cheyenne,SD,Ohio
Castillo Drive,462,Oklahoma City,WV,Delaware
Jones Road,463,Montpelier,OR,Montana
Santa Rosa North,464,Providence,WI,Alabama
Hutchinson Rd,465,Tallahassee,IN,West Virginia
Fairview Avenue,466,Topeka,ND,West Virginia
Grandview Drive,467,Atlanta,CT,Nebraska
Corona Del Mar,468,Boston,UT,Maine
Harbor Dr,469,Topeka,OH,Wyoming
Castillo Drive,470,Columbia,FL,Nebraska
Corona Del Mar,471,Jackson,NC,Virginia
Padre Boulevard,472,Little Rock,RI,Mississippi
Grandview Drive,473,Boston,OR,Colorado
Santa Monica Road,474,Saint Paul,SC,New Mexico
Richmond Hill,475,Jackson,OR,Georgia
Fontaine Road,476,Lincoln,CO,Ohio
Santa Rosa North,477,Raleigh,CA,Louisiana
Fairview Avenue,478,Columbus,OH,New Jersey
North Erringer Road,479,Harrisburg,VA,New Hampshire
Santa Monica Road,480,Springfield,IA,Arkansas
East 1st Street,481,Sacramento,HI,Pennsylvania
Milpas Street,482,Saint Paul,IA,Maryland
Cerrillos Road,483,Phoenix,IL,Missouri
Corona Del Mar,484,Jefferson City,CA,Rhode Island
El Camino Real,485,Madison,MA,South Dakota
Monroe Street,486,Boise,CT,Arizona
Redwood Highway,487,Oklahoma City,NE,Louisiana
Newbury Road,488,Austin,CO,Iowa
Calle Real,489,Santa Fe,ID,Rhode Island
East 1st Street,490,Topeka,AR,Virginia
Steele Lane,491,Bismarck,MD,Florida
San Diego Freeway,492,Helena,MN,Missouri
Lawrenceville Suwanee,493,Charleston,MN,Delaware
San Marcos,494,Pierre,TN,Idaho
Timberlane Drive,495,Denver,AR,Tennessee
San Simeon,496,Providence,MT,Massachusetts
East 1st Street,497,Nashville,ME,Nebraska
North Broadway Street,498,Albany,MN,Pennsylvania
Erringer Road,499,Jefferson City,ND,Alaska
N Kentwood,500,Lansing,VA,Minnesota
North Erringer Road,501,Bismarck,RI,Connecticut
Jean de la Fontaine,502,Nashville,WY,Texas
S Rustle St,503,Nashville,KS,Georgia
East Fry Blvd.,504,Pierre,MI,California
Redwood Highway,505,Denver,IN,Florida
Moreno Drive,506,Raleigh,TN,Utah
Moreno Drive,507,Concord,TN,Mississippi
North Preisker Lane,508,Nashville,OH,Iowa
Bayshore Freeway,509,Frankfort,AR,Utah
Carpinteria North,510,Tallahassee,LA,Washington
East 1st Street,511,Salt Lake City,SD,Nebraska
Newbury Road,512,Sacramento,MO,Alaska
Burnett Road,513,Harrisburg,VT,Wisconsin
Cabrillo Highway,514,Phoenix,ME,Idaho
Lake Tahoe Blvd.,515,Harrisburg,IL,Indiana
Cleveland Ave.,516,Cheyenne,KY,New York
Bowles Avenue,517,Baton Rouge,LA,Washington
Newbury Road,518,Juneau,ID,Delaware
East Calle Primera,519,Boston,UT,Missouri
Carpinteria South,520,Charleston,KS,Michigan
Lake Tahoe Blvd.,521,Tallahassee,NM,Wisconsin
Harry S Truman Blvd,522,Albany,SD,Alaska
North Erringer Road,523,Annapolis,NM,Arkansas
San Ysidro Blvd,524,Olympia,FL,Illinois
Cleveland Ave.,525,Little Rock,SC,Nevada
Santa Monica Road,526,Indianapolis,ND,Connecticut
Lake Tahoe Blvd.,527,Jackson,DE,West Virginia
French Camp Turnpike Road,528,Frankfort,MS,Colorado
Timberlane Drive,529,Columbia,NJ,Florida
East Main Street,530,Des Moines,MO,Minnesota
S Rustle St,531,Salt Lake City,NY,South Carolina
Santa Ana Freeway,532,Cheyenne,NY,Hawaii
Newbury Road,533,Raleigh,AZ,New York
Redwood Highway,534,Des Moines,MA,Arizona
Tully Road East,535,Dover,IN,Iowa
Carpinteria North,536,Denver,CA,Kansas
Santa Rosa South,537,Lansing,AZ,Texas
Milpas Street,538,Oklahoma City,WY,Wisconsin
Carpinteria North,539,Lincoln,AR,Iowa
W. Russell St.,540,Albany,AK,Missouri
North Preisker Lane,541,Columbus,AK,Connecticut
Jones Road,542,Austin,WA,California
Santa Rosa North,543,Salt Lake City,NM,Florida
San Diego Freeway,544,Phoenix,AZ,Delaware
South Highway,545,Indianapolis,MS,Maine
Santa Ana Freeway,546,Nashville,OH,Georgia
San Simeon,547,Salem,LA,South Dakota
East Main Street,548,Des Moines,RI,Washington
Via Real,549,Sacramento,AK,Michigan
San Marcos,550,Juneau,MO,Tennessee
Hutchinson Rd,551,Sacramento,MO,Oklahoma
San Diego Freeway,552,Lincoln,LA,South Dakota
San Ysidro Blvd,553,Raleigh,OK,Virginia
Steele Lane,554,Nashville,OK,New Jersey
East Main Street,555,Columbia,AL,Rhode Island
Cerrillos Road,556,Augusta,ID,Alabama
Jean de la Fontaine,557,Madison,NM,Oklahoma
Via Real,558,Helena,MT,New York
Cleveland Ave.,559,Tallahassee,NE,Maryland
East Fry Blvd.,560,Albany,LA,Massachusetts
Bayshore Freeway,561,Providence,TX,Kentucky
San Luis Obispo North,562,Baton Rouge,WI,Michigan
E Fowler Avenue,563,Oklahoma City,IA,Ohio
Santa Rosa North,564,Des Moines,KY,Kansas
San Marcos,565,Bismarck,FL,Maryland
French Camp Turnpike Road,566,Honolulu,WV,Wisconsin
Lindbergh Blvd,567,Madison,NY,Tennessee
Lindbergh Blvd,568,Baton Rouge,NH,Kansas
Woodson Rd.,569,Tallahassee,MS,Michigan
East Fry Blvd.,570,Bismarck,NM,Delaware
